timestamp,source_device,dest_device,dest_ip,protocol,bytes_sent,action
2025-07-01 14:01,PC-BOB-01,SRV-FILE-01,,SMB,12400,ConnectionSuccess
2025-07-01 14:03,SRV-FILE-01,SRV-DC-01,,LDAP,980,ConnectionSuccess
2025-07-01 14:04,SRV-DC-01,SRV-SQL-01,,TDS,45000,ConnectionSuccess
2025-07-01 14:06,SRV-SQL-01,SRV-BACKUP-01,,SMB,200000,ConnectionSuccess
2025-07-01 14:08,PC-BOB-01,SRV-DC-01,,SMB,1100,ConnectionSuccess
2025-07-01 14:10,PC-CHARLIE-01,SRV-DC-01,,RDP,8800,ConnectionSuccess
2025-07-01 14:15,SRV-DC-01,SRV-EXCHANGE-01,,LDAP,540,ConnectionSuccess
2025-07-01 14:20,PC-CHARLIE-01,,203.0.113.45,HTTPS,5400,ConnectionSuccess
2025-07-01 14:22,SRV-SQL-01,,198.51.100.12,DNS,120,ConnectionSuccess
2025-07-01 14:25,SRV-DC-01,,185.220.101.9,RDP,0,ConnectionFailed
2025-07-01 14:30,SRV-BACKUP-01,,185.220.101.9,HTTPS,98000,ConnectionSuccess
